"Commune";"insee";"Bestiole";"N";"An";"tetes";"ugb"
"Saint-Joseph";97412;"total bovins";69;2010;1988;1982,18
"Saint-Joseph";97412;"total bovins";47;2020;1255;1165,51
"Saint-Joseph";97412;"total équins";6;2010;18;17
"Saint-Joseph";97412;"total équins";6;2020;32;31,1
"Saint-Joseph";97412;"total porcins";90;2010;17941;4675,14
"Saint-Joseph";97412;"total porcins";39;2020;16325;4294,49
"Saint-Joseph";97412;"total volailles";222;2010;162299;1888,338
"Saint-Joseph";97412;"total volailles";74;2020;293538;3373,15
"Saint-Joseph";97412;"lapines mères";40;2010;1237;206,579
"Saint-Joseph";97412;"lapines mères";12;2020;543;90,681
"Saint-Joseph";97412;"Bovins";305;1988;1777;NA
"Saint-Joseph";97412;"Bovins";160;2000;2765;NA
"Saint-Joseph";97412;"Equins";4;2000;10;NA
"Saint-Joseph";97412;"Porcins";430;1988;8526;NA
"Saint-Joseph";97412;"Porcins";109;2000;15933;NA
"Saint-Leu";97413;"total bovins";74;2010;2720;2258,58
"Saint-Leu";97413;"total bovins";62;2020;2635;2254,37
"Saint-Leu";97413;"total équins";13;2010;135;125,6
"Saint-Leu";97413;"total équins";6;2020;97;95,3
"Saint-Leu";97413;"total porcins";26;2010;2420;647,97
"Saint-Leu";97413;"total porcins";16;2020;4137;1089,68
"Saint-Leu";97413;"total volailles";127;2010;11470;130,123
"Saint-Leu";97413;"total volailles";63;2020;101501;1188,072
"Saint-Leu";97413;"lapines mères";10;2010;369;61,623
"Saint-Leu";97413;"lapines mères";7;2020;254;42,418
"Saint-Leu";97413;"Bovins";112;1988;1061;NA
"Saint-Leu";97413;"Bovins";116;2000;2030;NA
"Saint-Leu";97413;"Equins";6;2000;33;NA
"Saint-Leu";97413;"Porcins";540;1988;3662;NA
"Saint-Leu";97413;"Porcins";79;2000;2358;NA
"Saint-Louis";97414;"total bovins";63;2010;1487;1119,5
"Saint-Louis";97414;"total bovins";39;2020;985;754,84
"Saint-Louis";97414;"total équins";3;2010;20;19,9
"Saint-Louis";97414;"total équins";6;2020;21;19,9
"Saint-Louis";97414;"total porcins";38;2010;4596;1247,8
"Saint-Louis";97414;"total porcins";18;2020;4052;1067,41
"Saint-Louis";97414;"total volailles";146;2010;25389;304,414
"Saint-Louis";97414;"total volailles";55;2020;25438;314,556
"Saint-Louis";97414;"lapines mères";15;2010;104;17,368
"Saint-Louis";97414;"lapines mères";3;2020;21;3,507
"Saint-Louis";97414;"Bovins";239;1988;698;NA
"Saint-Louis";97414;"Bovins";139;2000;1098;NA
"Saint-Louis";97414;"Porcins";375;1988;4868;NA
"Saint-Louis";97414;"Porcins";50;2000;5501;NA
"Saint-Paul";97415;"total bovins";143;2010;3020;2437,84
"Saint-Paul";97415;"total bovins";86;2020;1802;1501,99
"Saint-Paul";97415;"total équins";12;2010;112;102,5
"Saint-Paul";97415;"total équins";8;2020;60;58,4
"Saint-Paul";97415;"total porcins";58;2010;2667;551,72
"Saint-Paul";97415;"total porcins";34;2020;5934;1567,87
"Saint-Paul";97415;"total volailles";313;2010;440365;5119,511
"Saint-Paul";97415;"total volailles";185;2020;393536;4837,63
"Saint-Paul";97415;"lapines mères";49;2010;609;101,703
"Saint-Paul";97415;"lapines mères";NA;2020;NA;NA
"Saint-Paul";97415;"Bovins";275;1988;1394;NA
"Saint-Paul";97415;"Bovins";223;2000;2433;NA
"Saint-Paul";97415;"Equins";9;1988;43;NA
"Saint-Paul";97415;"Equins";11;2000;86;NA
"Saint-Paul";97415;"Porcins";1001;1988;10242;NA
"Saint-Paul";97415;"Porcins";122;2000;4429;NA
"Saint-Pierre";97416;"total bovins";71;2010;1767;1355,97
"Saint-Pierre";97416;"total bovins";66;2020;1563;NA
"Saint-Pierre";97416;"total équins";13;2010;110;103
"Saint-Pierre";97416;"total équins";7;2020;70;69
"Saint-Pierre";97416;"total porcins";45;2010;4901;1403,51
"Saint-Pierre";97416;"total porcins";24;2020;6067;NA
"Saint-Pierre";97416;"total volailles";252;2010;39197;441,427
"Saint-Pierre";97416;"total volailles";138;2020;70534;NA
"Saint-Pierre";97416;"lapines mères";26;2010;938;156,646
"Saint-Pierre";97416;"lapines mères";NA;2020;NA;NA
"Saint-Pierre";97416;"Bovins";321;1988;1258;NA
"Saint-Pierre";97416;"Bovins";138;2000;1530;NA
"Saint-Pierre";97416;"Equins";8;2000;29;NA
"Saint-Pierre";97416;"Porcins";624;1988;8054;NA
